time,motor1,motor2,motor3,motor4
0.0116,0,0,0,0
0.0232,0,0,0,0
0.0348,0,0,0,0
0.0464,0,0,0,0
0.0580,0,0,0,0
0.0697,0,0,0,0
0.0813,0,0,0,0
0.0929,0,0,0,0
0.1045,0,0,0,0
0.1161,0,0,0,0
0.1277,0,0,0,0
0.1393,0,0,0,0
0.1509,0,0,0,0
0.1625,0,0,0,0
0.1741,0,0,0,0
0.1858,0,0,0,0
0.1974,0,0,0,0
0.2090,0,0,0,0
0.2206,0,0,0,0
0.2322,0,0,0,0
0.2438,0,0,0,0
0.2554,0,0,0,0
0.2670,0,0,0,0
0.2786,0,0,0,0
0.2902,0,0,0,0
0.3019,0,0,0,0
0.3135,0,0,0,0
0.3251,0,0,0,0
0.3367,0,0,0,0
0.3483,0,0,0,0
0.3599,0,0,0,0
0.3715,0,0,0,0
0.3831,0,0,0,0
0.3947,0,0,0,0
0.4063,0,0,0,0
0.4180,0,0,0,0
0.4296,0,0,0,0
0.4412,0,0,0,0
0.4528,0,0,0,0
0.4644,0,0,0,0
0.4760,0,0,0,0
0.4876,0,0,0,0
0.4992,0,0,0,0
0.5108,0,0,0,0
0.5224,0,0,0,0
0.5341,0,0,0,0
0.5457,0,0,0,0
0.5573,0,0,0,0
0.5689,0,0,0,0
0.5805,0,0,0,0
0.5921,0,0,0,0
0.6037,0,0,0,0
0.6153,0,0,0,0
0.6269,0,0,0,0
0.6385,0,0,0,0
0.6502,0,0,0,0
0.6618,0,0,0,0
0.6734,0,0,0,0
0.6850,0,0,0,0
0.6966,0,0,0,0
0.7082,0,0,0,0
0.7198,0,0,0,0
0.7314,0,0,0,0
0.7430,0,0,0,0
0.7546,0,0,0,0
0.7663,0,0,0,0
0.7779,0,0,0,0
0.7895,0,0,0,0
0.8011,0,0,0,0
0.8127,0,0,0,0
0.8243,0,0,0,0
0.8359,0,0,0,0
0.8475,0,0,0,0
0.8591,0,0,0,0
0.8707,0,0,0,0
0.8824,0,0,0,0
0.8940,0,0,0,0
0.9056,0,0,0,0
0.9172,8,0,0,0
0.9288,36,5,0,0
0.9404,38,11,0,0
0.9520,74,12,0,1
0.9636,127,19,0,2
0.9752,130,31,0,2
0.9868,146,40,0,5
0.9985,179,45,0,6
1.0101,186,50,0,6
1.0217,161,53,0,7
1.0333,152,55,0,6
1.0449,150,55,0,4
1.0565,135,50,0,3
1.0681,113,45,0,3
1.0797,102,44,0,3
1.0913,101,46,0,3
1.1029,103,49,0,3
1.1146,99,50,0,3
1.1262,92,50,0,3
1.1378,82,45,0,3
1.1494,69,39,0,3
1.1610,61,33,0,3
1.1726,59,28,0,3
1.1842,53,25,0,4
1.1958,40,23,0,2
1.2074,23,17,0,0
1.2190,8,8,0,0
1.2307,3,2,0,0
1.2423,0,1,0,0
1.2539,1,0,0,0
1.2655,1,0,0,0
1.2771,1,0,0,0
1.2887,0,0,0,0
1.3003,0,0,0,0
1.3119,0,0,0,0
1.3235,0,0,0,0
1.3351,0,0,0,0
1.3468,0,0,0,0
1.3584,0,0,0,0
1.3700,0,0,0,0
1.3816,0,0,0,0
1.3932,0,0,0,0
1.4048,0,0,0,0
1.4164,0,0,0,0
